R-RMNY,PAGE,URL
0258-RMNY-0353,0183,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_192.html
0261-RMNY-0385,0000,http://mek.oszk.hu/12200/12277/html/RMK_1_0128_0001.html
0271-RMNY-0671,0148,http://mek.oszk.hu/12600/12639/html/rmk-1_249_0316.html
0285-RMNY-0353,0239,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_248.html
0295-RMNY-0353,0184,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_193.html
0897-RMNY-0353,0063,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_071.html
0347-RMNY-0353,0067,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_075.html
0413-RMNY-0353,0068,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_076.html
0301-RMNY-0353,0064,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_072.html
0340-RMNY-0353,0128,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_500.html
0363-RMNY-0353,0020,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_390.html
0366-RMNY-0353,0013,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_383.html
0368-RMNY-0353,0004,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_375.html
0374-RMNY-0353,0124,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_496.html
0379-RMNY-0353,0098,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_471.html
0392-RMNY-0353,0054,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_426.html
0667-RMNY-0353,0151,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_160.html
0565-RMNY-0353,0030,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_040.html
0080-RMNY-0353,0040,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_049.html
0409-RMNY-0353,0085,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_457.html
0410-RMNY-0353,0005,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_376.html
0411-RMNY-0353,0345,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_366.html
0412-RMNY-0353,0062,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_070.html
0417-RMNY-0353,0008,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_379.html
0421-RMNY-0353,0106,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_479.html
0434-RMNY-0353,0222,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_230.html
0444-RMNY-0353,0031,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_401.html
0476-RMNY-0353,0303,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_311.html
0478-RMNY-0353,0010,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_380.html
0481-RMNY-0353,0201,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_209.html
0482-RMNY-0353,0105,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_478.html
